,acc_test_teacher,acc_test_student,acc_test_distilled,acc_train_teacher,acc_train_student,acc_train_distilled,time_train_teacher,time_train_student,time_train_distilled,time_test_teacher,time_test_student,time_test_distilled
0,87.74,83.5,87.74,87.50833333333333,82.73166666666667,87.50833333333333,1.535766839981079,0.35509705543518066,1.535766839981079,0.37230968475341797,0.05273914337158203,0.37230968475341797
1,90.68,85.3,90.68,90.975,85.81333333333333,90.975,1.1587498188018799,0.3142719268798828,1.1587498188018799,0.3597679138183594,0.052805185317993164,0.3597679138183594
2,90.51,88.71,90.51,90.68666666666667,88.63666666666667,90.68666666666667,1.0601847171783447,0.2983276844024658,1.0601847171783447,0.362196683883667,0.05316615104675293,0.362196683883667
3,91.38,87.78,91.38,91.90833333333333,87.45,91.90833333333333,1.0345070362091064,0.2923130989074707,1.0345070362091064,0.37268924713134766,0.05458784103393555,0.37268924713134766
4,90.31,84.44,90.31,90.98,84.55833333333334,90.98,0.9929409027099609,0.2864863872528076,0.9929409027099609,0.3670835494995117,0.05455517768859863,0.3670835494995117
5,90.86999999999999,85.75,90.86999999999999,91.39666666666668,85.60666666666667,91.39666666666668,0.9414258003234863,0.28917980194091797,0.9414258003234863,0.37133121490478516,0.05435991287231445,0.37133121490478516
6,91.64,87.69,91.64,92.145,87.425,92.145,0.9335484504699707,0.28397178649902344,0.9335484504699707,0.3752169609069824,0.06768465042114258,0.3752169609069824
7,92.23,88.34,92.23,92.65833333333333,88.32,92.65833333333333,0.8931140899658203,0.2839546203613281,0.8931140899658203,0.36482691764831543,0.07184410095214844,0.36482691764831543
8,93.05,87.45,93.05,93.66499999999999,87.58500000000001,93.66499999999999,0.8745326995849609,0.27971506118774414,0.8745326995849609,0.36929941177368164,0.05858492851257324,0.36929941177368164
9,93.13,88.34,93.13,93.78333333333333,88.02666666666667,93.78333333333333,0.8792824745178223,0.2797834873199463,0.8792824745178223,0.36675548553466797,0.05468320846557617,0.36675548553466797
10,93.17,90.03999999999999,93.17,94.06333333333333,89.94333333333333,94.06333333333333,0.881831169128418,0.27623629570007324,0.881831169128418,0.3753085136413574,0.0542447566986084,0.3753085136413574
11,92.72,89.58,92.72,93.44833333333334,89.47333333333334,93.44833333333334,0.8406102657318115,0.2893862724304199,0.8406102657318115,0.379863977432251,0.05813241004943848,0.379863977432251
12,92.81,90.89,92.81,93.72,90.46333333333332,93.72,0.8481814861297607,0.2791464328765869,0.8481814861297607,0.3751974105834961,0.06225919723510742,0.3751974105834961
13,93.62,90.41,93.62,94.65666666666667,90.39166666666667,94.65666666666667,0.8388826847076416,0.2745673656463623,0.8388826847076416,0.37287402153015137,0.05438876152038574,0.37287402153015137
14,93.06,90.84,93.06,94.21666666666667,90.56333333333333,94.21666666666667,0.8308570384979248,0.28116440773010254,0.8308570384979248,0.3708786964416504,0.05431008338928223,0.3708786964416504
15,93.67999999999999,89.74,93.67999999999999,94.80499999999999,89.795,94.80499999999999,0.8287556171417236,0.2782747745513916,0.8287556171417236,0.38207054138183594,0.05470156669616699,0.38207054138183594
16,93.86,90.71000000000001,93.86,94.77499999999999,90.83333333333333,94.77499999999999,0.8144724369049072,0.27195239067077637,0.8144724369049072,0.3846700191497803,0.06035947799682617,0.3846700191497803
17,93.65,89.4,93.65,94.91833333333334,89.09666666666666,94.91833333333334,0.8231351375579834,0.2764415740966797,0.8231351375579834,0.3810896873474121,0.05475163459777832,0.3810896873474121
18,92.27,89.56,92.27,93.60833333333333,89.84833333333333,93.60833333333333,0.8303897380828857,0.2847886085510254,0.8303897380828857,0.3816354274749756,0.05472302436828613,0.3816354274749756
19,93.81,90.29,93.81,94.89,90.21166666666667,94.89,0.809410810470581,0.2727656364440918,0.809410810470581,0.374492883682251,0.06394505500793457,0.374492883682251
20,93.82000000000001,89.59,93.82000000000001,94.985,90.07333333333334,94.985,0.7911107540130615,0.2838783264160156,0.7911107540130615,0.3750288486480713,0.05298042297363281,0.3750288486480713
21,92.46,90.14999999999999,92.46,93.88333333333333,89.75166666666667,93.88333333333333,0.8015220165252686,0.27644896507263184,0.8015220165252686,0.36615943908691406,0.05356574058532715,0.36615943908691406
22,94.03,91.56,94.03,95.435,91.14,95.435,0.7905902862548828,0.2728769779205322,0.7905902862548828,0.3683891296386719,0.05425858497619629,0.3683891296386719
23,93.95,90.94,93.95,95.39333333333333,91.09833333333334,95.39333333333333,0.764629602432251,0.2789454460144043,0.764629602432251,0.36136651039123535,0.05427050590515137,0.36136651039123535
24,94.93,88.74,94.93,96.27666666666667,88.82333333333334,96.27666666666667,0.7839505672454834,0.2672748565673828,0.7839505672454834,0.37445688247680664,0.053863525390625,0.37445688247680664
25,94.13,89.36,94.13,95.66666666666667,89.13833333333334,95.66666666666667,0.7729792594909668,0.2689034938812256,0.7729792594909668,0.3686082363128662,0.056622982025146484,0.3686082363128662
26,94.65,90.4,94.65,96.21166666666666,90.53333333333333,96.21166666666666,0.7776591777801514,0.27278590202331543,0.7776591777801514,0.37070131301879883,0.06870627403259277,0.37070131301879883
27,94.52000000000001,89.53,94.52000000000001,95.875,89.535,95.875,0.7788140773773193,0.2693965435028076,0.7788140773773193,0.37187862396240234,0.05366039276123047,0.37187862396240234
28,93.97999999999999,91.17,93.97999999999999,95.48666666666666,90.875,95.48666666666666,0.7713112831115723,0.2705864906311035,0.7713112831115723,0.3702707290649414,0.0544736385345459,0.3702707290649414
29,94.61,91.0,94.61,96.20833333333333,91.125,96.20833333333333,0.7577366828918457,0.2644312381744385,0.7577366828918457,0.3689291477203369,0.05362391471862793,0.3689291477203369
30,93.8,90.53,93.8,95.375,90.95666666666666,95.375,0.7501547336578369,0.2675034999847412,0.7501547336578369,0.36222338676452637,0.05421614646911621,0.36222338676452637
31,94.02000000000001,89.53999999999999,94.02000000000001,95.46333333333334,89.81166666666667,95.46333333333334,0.7515146732330322,0.27100276947021484,0.7515146732330322,0.364666223526001,0.059031009674072266,0.364666223526001
32,94.69,90.45,94.69,96.32333333333334,90.47333333333333,96.32333333333334,0.7490651607513428,0.2692091464996338,0.7490651607513428,0.3699934482574463,0.054399728775024414,0.3699934482574463
33,94.62,90.23,94.62,96.36833333333334,89.69666666666667,96.36833333333334,0.7756516933441162,0.2697110176086426,0.7756516933441162,0.36254048347473145,0.05396676063537598,0.36254048347473145
34,94.66,91.32000000000001,94.66,96.38333333333333,91.67333333333333,96.38333333333333,0.7417721748352051,0.270249605178833,0.7417721748352051,0.3722565174102783,0.08016443252563477,0.3722565174102783
35,95.02000000000001,91.12,95.02000000000001,96.84333333333333,91.595,96.84333333333333,0.7394118309020996,0.2741398811340332,0.7394118309020996,0.3809623718261719,0.05399322509765625,0.3809623718261719
36,94.44,90.55,94.44,96.095,90.95833333333333,96.095,0.7602715492248535,0.2676403522491455,0.7602715492248535,0.3713033199310303,0.053798675537109375,0.3713033199310303
37,94.5,89.49000000000001,94.5,95.79166666666666,89.91333333333333,95.79166666666666,0.7342824935913086,0.27150392532348633,0.7342824935913086,0.3730781078338623,0.06475543975830078,0.3730781078338623
38,94.23,88.68,94.23,96.03,88.87,96.03,0.7337710857391357,0.2686195373535156,0.7337710857391357,0.3627943992614746,0.06055140495300293,0.3627943992614746
39,94.81,90.12,94.81,96.50666666666666,90.44,96.50666666666666,0.735541582107544,0.2740936279296875,0.735541582107544,0.37219977378845215,0.06697225570678711,0.37219977378845215
40,94.31,89.72,94.31,95.95833333333333,89.90833333333333,95.95833333333333,0.7467911243438721,0.26755619049072266,0.7467911243438721,0.37273335456848145,0.05397963523864746,0.37273335456848145
